  Shaft Middle GE R RY 5 RJS 1 ;4;1
  Shaft Back GE L RY 5 RJS 1 ;1;1
 Shaft Back GE R RY 5 RJS 1 ;3;1
 Shaft Back OE L/R RY 5 RJS 1 ;3;1
     Shaft Front OE L RY 5 RJS 2 ;2;1
     Shaft Front OE R RY 5 RJS 2 ;2;1
Gear 32 T ;8;1
Gear draft 32 T ;9;1
 Gear draft 33 T ;5;1
  Gear draft + limiter 82 T;1;1
 Worm Gear 65 T ;2;1
Bevel Gear 32 T atas;3;1
     Bevel Gear 39 T Bawah;4;1
 Gear A RY 5 46 T;2;1
Gear DC RY 5 43 T;1;1
Gear 82 T ;5;1
Gear 87 T ;4;1
Gear Idle 89 T  ;8;1
Gear 93 T;6;1
Gear 105 T;1;1
Gear G RY 5 132 T;4;1
Gear Pinon draft 27 T;4;1
Gear Rachet 40 T;3;1
Worm gear ringrail 32 T RY 5 ;2;1
Traveller 1/0 bracker;1;1
Traveller 2/0 bracket ;3;1
Traveller no 1 Bracker;3;1
Traveller 1/0 MS/HF TM;3;1
Traveller 2/0 MS/HF TM;1;1
Traveller 3/0 MS/HF TM;3;1
Traveller 4/0 MS/HF TM;1;1
Traveller 1/0 Express ;10;1
Traveller 2/0 Express ;2;1
Traveller 3/0 Express ;4;1
Traveller 1/0 Shaparie;2;1
Traveller 2/0 Shaparie;1;1
Traveller 3/0 bracker;2;1
Traveller 4/0 express ;1;1
Traveller 4/0 bracker ;2;1
Top appron 39.2 x 40 x 1,05;2993;1
Bottom appron 79 x 28 x 1,3;1998;1
Knee break laksmi ;100;1
Gear 46 T laksmi ;4;1
Gear 47 T laksmi ;4;1
Gear 48 T laksmi ;4;1
Gear 50 T laksmi ;4;1
Air Valve ;26;1
Bearing center kecil Murata 7 V;14;1
Bearing center besar ( perbaikan );14;1
Bearing center besar kuningan ;1;1
Baut Lever S10;11;1
Bush Gear MO;6;1
Braket magazine ;16;1
Bracket lying uster;1;1
Bobin ejektor;91;1
Cover drum ;10;1
Cup magazine ;18;1
Carrier piece ;45;1
Disk clamp;13;1
Flat wax ;8;1
Gear fiction ( Shaft );8;1
Gear MO;5;1
Gear KO;4;1
Gear Finger magazine;4;1
(upper ) Guild ;3;1
Cod root T 3  ;88;1
Holder lever ;7;1
Holding lever J;4;1
Increase;92;1
Intermidate Plate ;2;1
Kramik boomberang ;1;1
Lever Cutter spicer ;60;1
Lever L-N ( Kecil ) / Stopper lever ;28;1
Lever H;1;1
Lever R ;7;1
Lever Y;64;1
Lever Tensor blowing ( lever S 1 ) ;11;1
Lever S2;5;1
Lever S8;21;1
Lever S10;77;1
Lever B4;52;1
Magazine base murata 7V ;12;1
Magazine can ( 6 cans );2;1
Magazine ratch spring;17;1
Mount pad N;97;1
Nozzle brush ;4;1
Nozzle pipe ;50;1
Oil dumper ;9;1
Spring lever S5;15;1
Pully magnet;19;1
Pisau Wax / shaft Wax;22;1
Push botton WD;8;1
Push botton Yellow WD;19;1
Pully Conveyor ;1;1
Regulator angin 7 V;2;1
Retie pipe;15;1
Seal spicer diameter dalam 0.08;50;1
Spring collar;20;1
Shaft Conveyor murata 7V ;1;1
Shaft drum murata ;38;1
Shaft drum Stay murata ;19;1
Spring Retie pipe ;3;1
Shaft Cutter shutter;17;1
Shaft Gear Segement / Stud ;1;1
Spring lever S10 ;19;1
Set piece ;60;1
Tenser Disk ( kiri );3;1
Tenser Disk ( kanan );5;1
Trap door murata;11;1
Tutup magazine angin ;7;1
Waxing device ( Tensor unit );1;1
Yarn Trap Holder;2;1
Selenoid valve murata 7V;12;1
Yarn guide lay in lever ( sambungan lever S4 );44;1
Air dumper 2nd;1;1
Breaket magazine Murata C21;8;1
Break shoe murata C21;71;1
Bush 21A - 410 - 036;2;1
Bush ( Nareem ) 21A - 400 - 053;2;1
Bobin ejector murata C21 ;2;1
Bobin Peg murata C21 ;1;1
Block ( Nareem ) 21A - 377 - 001;14;1
Belt conveyor WD Murata C21 247 x 18 x 1,5;1;1
Cover drum L murata C21 ;1;1
Cutter assmby ( Nareem ) 21A - 480 - 039;8;1
Cutter assmby Cramik  ( Nareem ) 21A-614A  ( Cutter spicer );40;1
Flange ( Nareem ) 21A - 400 - 009;3;1
Key  ( Bahan spie kecil );2;1
Klem Murata C21 ;1;1
guide ( nareem );7;1
Gate tensor ;10;1
Head bearing center murata C21 kecil;119;1
Handle murata C21 ;7;1
Head Assy Murata C21;9;1
Holding lever murata C21 ;21;1
Holding Yarn guilde Murata C21;1;1
Nylon Glass;7;1
Magazine Base Murata C21;7;1
Magazine Can murata C21;3;1
Mount pad murata C21 ;96;1
Magnet ( Nareen ) 21A - 425 - 006;8;1
Napple Fitting 8 MM ( murata C21 );29;1
Head bearing center murata C21 Besar ;118;1
Bracket Piston murata C21 ;1;1
Ring o ( Nareem ) 21A - 422 - 07;10;1
Selenoid valve C21;4;1
Shaft drum stay murata C21 ;2;1
Spring ( Nareem ) 21A - 470 - 023 ( spring spicer S3 );31;1
Spring ( Nareem ) 21A - 480 - 047;16;1
Spring 21A - 440 - 003 ( Spring Gate tensor );19;1
Spring 21A -620B-25 ( Spring penarik ejector );20;1
Seal Oil dumper murata C21;27;1
Shaft Conveyor C21;1;1
Regulator angin murata C21;3;1
Adafter 207 H ;5;1
Adafter 209 H;2;1
Adafer 309 H;7;1
Adafer 310 H;2;1
Adafer 311 H;3;1
Adafter 2312 X;3;1
Bearing winding murata 115 MR;68;1
Bearing winding murata 687 zz;25;1
Bearing winding murata 135/695 zz;33;1
Bearing winding murata 145 / 605 ZZ;50;1
Bearing 608 ;14;1
Bearing 626;4;1
Bearing 1205 ;25;1
Bearing 1206 ;10;1
Bearing 1207 K;1;1
Bearing 1209 K;2;1
Bearing 1307 K;21;1
Bearing  1309 K;5;1
Bearing  1310 K;2;1
Bearing 2206;5;1
Bearing 22205;3;1
Bearing 2212 K;3;1
Bearing 5205 / 3205;9;1
Bearing 5206;4;1
Bearing  5305 / 3305 ;3;1
Bearing 51104 ;4;1
Bearing 6000 ;30;1
Bearing 6001;9;1
Bearing 6002;1;1
Bearing 6003;2;1
Bearing 6004 ;21;1
Bearing 6005 ;21;1
Bearing 6006 ;8;1
Bearing 6007 ;7;1
Bearing 6008;4;1
Bearing 6020;2;1
Bearing 6014;1;1
Bearing 6017;1;1
Bearing 6200 ;26;1
Bearing 6201 ;25;1
Bearing 6202 ;2;1
Bearing 6204 ;14;1
Bearing 6205 ;6;1
Bearing 6206 ;36;1
Bearing 6207 ;2;1
Bearing 6208;4;1
Bearing 6209;14;1
Bearing 6210;1;1
Bearing 6212;2;1
Bearing 6213;2;1
Bearing 6301;7;1
Bearing 6302;1;1
Bearing 6303;14;1
Bearing 6304;13;1
Bearing 6305;57;1
Bearing 6306;11;1
Bearing 6307;6;1
Bearing 6308;6;1
Bearing 6309;8;1
Bearing 6818 ;2;1
Bearing 16005;15;1
Bearing 16006;15;1
Bearing 6905 / 61905;3;1
Bearing CSK 25 pp;2;1
Bearing NUP 205 E;4;1
Bearing BA2B 633816 AA ;1;1
Neadle bearing NK 22/16;4;1
Neadle bearing 28/20;2;1
Neadle bearing 4904 RNA;5;1
Bush Neadle bearing 4904 ;2;1
Neadle bearing 6903;22;1
Neadle bearing 6904 R;1;1
Neadle bearing RC 081208;9;1
Bearing 6804 ;1;1
Bearing 16004 ;10;1
Neadle bearing 15 18 12 ( u/Top roll Drawing RSB 30 );2;1
Neadle bearing NKIB 5903;4;1
Bearing RAE 25;7;1
Bearing RAE 40;4;1
Bearing unit UCFL 204;3;1
Bearing unit UC 205;3;1
Bearing unit UC 206;2;1
Bearing unit UC 207;2;1
Bearing unit UC 210;4;1
Neadle bearing HK 1512;10;1
Neadle bearing HK 2218;7;1
Bearing unit SB 206;4;1
Bearing GE KRRB 35;5;1
Bearing GE KRRB 50;2;1
Bearing GE KRRB 25 ;5;1
Bearing GE KRRB 40;2;1
Bearing FE 08;1;1
Bearing OIMNE 08 AHOI;3;1
Bearing UC 6205 ( UCS 205 );2;1
Neadle bearing HK 1012;4;1
Neadle bearing NK 35/20;1;1
V-belt A 59;5;1
V-belt A 60;5;1
V-belt A 62;7;1
V-Belt A 69;8;1
V-belt A 73;5;1
V-belt A 90 ;8;1
V-belt A 96;2;1
V-belt A 112;4;1
V-belt SPA 1457 / A57;11;1
V-belt SPA 1500;11;1
V-belt SPA 1532;3;1
V-belt SPA 1600;17;1
V-belt SPA 1632;5;1
V-belt SPA 1707;13;1
V- belt SPB 2410 ;4;1
V- belt SPB 2800 / B110;14;1
Flat belt 1955 x 30 mm;6;1
FlatBelt 2200 x 30 x 5mm;4;1
V-Belt A53;5;1
V-Belt A 55;7;1
V-Belt A 66;3;1
V-Belt B 125;6;1
T-Belt  270 DH 100;14;1
T-Belt  450 DH 100;8;1
